EmployeeID,Age,Department,JobRole,EducationField,JobLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,TrainingTimesLastYear,PercentSalaryHike,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,MonthlyIncome,DistanceFromHome,Gender,MaritalStatus,OverTime,NumCompaniesWorked,Attrition
1001,56,Research & Development,Healthcare Representative,Life Sciences,2,16,7,7,3,5,3,12,3,4,4,4,5640,8,Male,Married,Yes,7,1
1002,46,Sales,Sales Executive,Medical,3,22,14,11,0,7,3,11,4,2,4,2,10885,12,Female,Married,No,3,0
1003,32,Sales,Manager,Marketing,3,6,6,4,5,3,2,14,3,3,4,4,6661,19,Male,Divorced,No,0,0
1004,60,Research & Development,Laboratory Technician,Technical Degree,5,33,32,32,13,21,4,16,3,3,2,1,10788,12,Male,Married,No,5,1
1005,25,Research & Development,Healthcare Representative,Life Sciences,5,2,2,2,0,1,3,24,3,3,4,2,13714,22,Female,Married,Yes,7,1
1006,38,Research & Development,Manager,Medical,3,10,10,5,6,4,4,15,3,4,4,2,6446,28,Female,Single,No,2,0
1007,56,Sales,Sales Representative,Other,1,18,4,4,0,4,2,14,3,4,2,3,4378,2,Female,Married,No,1,0
1008,36,Research & Development,Laboratory Technician,Life Sciences,4,14,4,0,1,0,3,24,3,4,3,2,11400,24,Male,Divorced,No,5,0
1009,40,Research & Development,Laboratory Technician,Life Sciences,1,11,11,0,8,0,0,14,4,4,3,4,3162,8,Female,Single,No,0,0
1010,28,Human Resources,Human Resources,Technical Degree,1,2,0,0,0,0,4,20,3,4,3,4,2533,28,Male,Married,No,4,0
1011,28,Research & Development,Manufacturing Director,Medical,4,4,1,1,1,1,3,25,3,4,4,3,10649,13,Female,Married,No,5,1
1012,41,Sales,Sales Executive,Marketing,1,13,5,1,2,0,4,17,3,2,4,3,3051,1,Male,Married,Yes,7,0
1013,53,Human Resources,Manager,Other,1,26,13,11,5,9,3,17,3,3,4,4,5109,3,Female,Married,Yes,6,0
1014,57,Research & Development,Research Scientist,Medical,1,16,10,6,6,5,4,12,3,2,4,4,3509,2,Male,Single,No,5,0
