EmployeeID,Age,Department,JobRole,EducationField,JobLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,YearsSinceLastPromotion,TrainingTimesLastYear,PercentSalaryHike,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,MonthlyIncome,DistanceFromHome,Gender,MaritalStatus,OverTime,NumCompaniesWorked,Attrition,PromotionGapRatio,RoleStagnationIndex,TrainingIntensity,ManagerStability,CareerCluster,PromotionGapScore,StagnationComposite,RetentionOpportunity
1001,56,Research & Development,Healthcare Representative,Life Sciences,2,16,7,7,3,5,3,12,3,4,4,4,5640,8,Male,Married,Yes,7,1,0.7142857142857143,1.0,0.42857142857142855,0.42857142857142855,High-risk stagnation profiles,High,0.7857142857142857,False
1002,46,Sales,Sales Executive,Medical,3,22,14,11,0,7,3,11,4,2,4,2,10885,12,Female,Married,No,3,0,0.5,0.7857142857142857,0.21428571428571427,0.0,Stable long-term contributors,High,0.5928571428571427,True
1003,32,Sales,Manager,Marketing,3,6,6,4,5,3,2,14,3,3,4,4,6661,19,Male,Divorced,No,0,0,0.5,0.6666666666666666,0.3333333333333333,0.8333333333333334,Stable long-term contributors,High,0.6166666666666667,True
1004,60,Research & Development,Laboratory Technician,Technical Degree,5,33,32,32,13,21,4,16,3,3,2,1,10788,12,Male,Married,No,5,1,0.65625,1.0,0.125,0.40625,High-risk stagnation profiles,High,0.7906250000000001,False
1005,25,Research & Development,Healthcare Representative,Life Sciences,5,2,2,2,0,1,3,24,3,3,4,2,13714,22,Female,Married,Yes,7,1,0.5,1.0,1.5,0.0,High-risk stagnation profiles,High,0.6000000000000001,False
1006,38,Research & Development,Manager,Medical,3,10,10,5,6,4,4,15,3,4,4,2,6446,28,Female,Single,No,2,0,0.4,0.5,0.4,0.6,Fast-track performers,Medium,0.48000000000000004,True
1007,56,Sales,Sales Representative,Other,1,18,4,4,0,4,2,14,3,4,2,3,4378,2,Female,Married,No,1,0,1.0,1.0,0.5,0.0,Stable long-term contributors,High,0.8500000000000001,True
1008,36,Research & Development,Laboratory Technician,Life Sciences,4,14,4,0,1,0,3,24,3,4,3,2,11400,24,Male,Divorced,No,5,0,0.0,0.0,0.75,0.25,Fast-track performers,Low,0.05,False
1009,40,Research & Development,Laboratory Technician,Life Sciences,1,11,11,0,8,0,0,14,4,4,3,4,3162,8,Female,Single,No,0,0,0.0,0.0,0.0,0.7272727272727273,Fast-track performers,Low,0.17272727272727273,False
1010,28,Human Resources,Human Resources,Technical Degree,1,2,0,0,0,0,4,20,3,4,3,4,2533,28,Male,Married,No,4,0,0.0,0.0,4.0,0.0,Fast-track performers,Low,0.0,False
1011,28,Research & Development,Manufacturing Director,Medical,4,4,1,1,1,1,3,25,3,4,4,3,10649,13,Female,Married,No,5,1,1.0,1.0,3.0,1.0,High-risk stagnation profiles,High,0.9,False
1012,41,Sales,Sales Executive,Marketing,1,13,5,1,2,0,4,17,3,2,4,3,3051,1,Male,Married,Yes,7,0,0.0,0.2,0.8,0.4,Stable long-term contributors,Low,0.14,False
1013,53,Human Resources,Manager,Other,1,26,13,11,5,9,3,17,3,3,4,4,5109,3,Female,Married,Yes,6,0,0.6923076923076923,0.8461538461538461,0.23076923076923078,0.38461538461538464,High-risk stagnation profiles,High,0.7307692307692307,True
1014,57,Research & Development,Research Scientist,Medical,1,16,10,6,6,5,4,12,3,2,4,4,3509,2,Male,Single,No,5,0,0.5,0.6,0.4,0.6,High-risk stagnation profiles,High,0.56,True
1015,41,Sales,Manager,Other,4,19,3,1,0,1,3,23,3,1,3,3,9547,23,Female,Married,No,1,0,0.3333333333333333,0.3333333333333333,1.0,0.0,Stable long-term contributors,Medium,0.26666666666666666,False
1016,20,Research & Development,Research Scientist,Life Sciences,2,0,1,1,0,0,0,17,3,2,3,3,5175,23,Female,Single,No,7,0,0.0,1.0,0.0,0.0,High-risk stagnation profiles,Medium,0.5,True
1017,39,Sales,Manager,Technical Degree,3,7,4,0,3,0,2,12,3,1,4,3,6289,20,Male,Married,No,7,1,0.0,0.0,0.5,0.75,Fast-track performers,Low,0.125,False
1018,19,Research & Development,Research Scientist,Technical Degree,1,0,0,0,0,0,3,14,3,4,3,3,1825,28,Male,Married,Yes,4,0,0.0,0.0,3.0,0.0,Fast-track performers,Low,0.0,False
1019,41,Sales,Sales Representative,Human Resources,3,14,8,8,1,5,3,25,3,3,2,2,9242,28,Female,Divorced,No,2,0,0.625,1.0,0.375,0.125,Stable long-term contributors,High,0.725,True
1020,47,Research & Development,Research Director,Marketing,3,20,8,3,2,2,1,11,3,2,3,3,9491,8,Male,Single,Yes,7,1,0.25,0.375,0.125,0.25,Fast-track performers,Medium,0.36250000000000004,False
1021,55,Sales,Sales Representative,Technical Degree,1,25,23,20,15,20,4,15,3,4,1,1,3888,3,Male,Married,No,4,0,0.8695652173913043,0.8695652173913043,0.17391304347826086,0.6521739130434783,Stable long-term contributors,High,0.8434782608695651,True
1022,19,Sales,Sales Representative,Life Sciences,2,2,2,1,2,1,3,11,3,4,4,3,4206,25,Female,Married,No,2,1,0.5,0.5,1.5,1.0,Stable long-term contributors,Medium,0.5,False
1023,38,Research & Development,Manager,Marketing,1,14,9,9,4,6,3,14,3,4,2,3,3568,21,Female,Single,No,8,0,0.6666666666666666,1.0,0.3333333333333333,0.4444444444444444,High-risk stagnation profiles,High,0.7777777777777778,True
1024,50,Sales,Sales Representative,Medical,5,27,15,12,10,5,2,23,4,3,2,4,11215,29,Male,Married,No,8,0,0.3333333333333333,0.8,0.13333333333333333,0.6666666666666666,Stable long-term contributors,High,0.6066666666666667,True
